jsic	unified_id	reason
A	UNI-6b47735609	cap_per_jsic
A	UNI-6f14472512	cap_per_jsic
A	UNI-71f5dbb96b	cap_per_jsic
A	UNI-803469a07f	cap_per_jsic
A	UNI-83612e0faa	cap_per_jsic
A	UNI-874eef2bbb	cap_per_jsic
A	UNI-8c39155f47	cap_per_jsic
A	UNI-925a087aa0	cap_per_jsic
A	UNI-9759c5fe32	cap_per_jsic
A	UNI-98adec2840	cap_per_jsic
A	UNI-98ea79163c	cap_per_jsic
A	UNI-9943b00251	cap_per_jsic
A	UNI-a1426350a6	cap_per_jsic
A	UNI-a2d06dc900	cap_per_jsic
A	UNI-a37eb11a28	cap_per_jsic
A	UNI-a400032e40	cap_per_jsic
A	UNI-ab8031a302	cap_per_jsic
A	UNI-b088b3c92f	cap_per_jsic
A	UNI-bb460973bf	cap_per_jsic
A	UNI-bd1d06836a	cap_per_jsic
A	UNI-c2acc4d0c9	cap_per_jsic
A	UNI-c5f7860e2c	cap_per_jsic
A	UNI-c7e794ee14	cap_per_jsic
A	UNI-cdc2f5eaff	cap_per_jsic
A	UNI-d06881f7d6	cap_per_jsic
A	UNI-d0ed82d54c	cap_per_jsic
A	UNI-dd1d17fa52	cap_per_jsic
A	UNI-df3bffaa2e	cap_per_jsic
A	UNI-e148b050e8	cap_per_jsic
A	UNI-e21db63ab9	cap_per_jsic
A	UNI-e3173621ed	cap_per_jsic
A	UNI-e3c2a79051	cap_per_jsic
A	UNI-f49c750999	cap_per_jsic
A	UNI-f638b71903	cap_per_jsic
A	UNI-f880d0eb7b	cap_per_jsic
A	UNI-fe3861382a	cap_per_jsic
A	UNI-1732834b06	cap_per_jsic
A	UNI-3fc6fe6d6f	cap_per_jsic
A	UNI-9a2efc550f	cap_per_jsic
A	UNI-000e562f2a	cap_per_jsic
A	UNI-00ff270951	cap_per_jsic
A	UNI-010ae00927	cap_per_jsic
A	UNI-01b53bde83	cap_per_jsic
A	UNI-01c92b01c8	cap_per_jsic
A	UNI-02d664bff5	cap_per_jsic
A	UNI-042f742d2d	cap_per_jsic
A	UNI-0454e34b5d	cap_per_jsic
A	UNI-04b5d2a6b5	cap_per_jsic
A	UNI-05248dda19	cap_per_jsic
A	UNI-06107c24ff	cap_per_jsic
A	UNI-07fe7099e5	cap_per_jsic
A	UNI-084eb1fa1c	cap_per_jsic
A	UNI-088077dc45	cap_per_jsic
A	UNI-096fd44ec6	cap_per_jsic
A	UNI-0a44e09275	cap_per_jsic
A	UNI-0a85254e60	cap_per_jsic
A	UNI-0bcaabeaa6	cap_per_jsic
A	UNI-0c120fe149	cap_per_jsic
A	UNI-0ca11edbf2	cap_per_jsic
